Date,Close,Volume,Revenue,Other Income,Total Income,Expenditure,Operating Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,EPS (Rs),RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband,FibonacciLevels,LeadingClose,LeadingFibonacciLevel
2016-01-01,1075.6993408203125,712262,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,49.977956454695,0.8621875709039163,1080.431429151403,3.090838229394421,-1077.340590922009,1075.5364099967462,51.00390056936149,1078.599408830915,1101.570143568808,1055.628674093022,1085.760138342992,1054.86572265625,1074.6309313259733
2016-01-04,1054.86572265625,1870184,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,42.64175067739021,0.586570435967808,1075.3182878523726,0.9599401953851155,-1074.3583476569877,1073.6572566021557,61.61107708845287,1078.3179931640625,1102.4028405864449,1054.2331457416803,1074.6309313259733,1045.673095703125,1062.4337919203308
2016-01-05,1045.673095703125,2678020,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,39.86136647472482,0.482112961460899,1069.389249422523,-1.4538212713430312,-1070.843070693866,1071.113241974971,54.688025639961,1077.462637765067,1105.272212180611,1049.653063349523,1062.4337919203308,1060.2078857421875,1062.2331827410233
2016-01-06,1060.2078857421875,2653228,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,45.87106987516525,0.7078941463575021,1067.552976686456,-2.1689067333688854,-1069.721883419825,1070.1218459538088,55.11101572925325,1076.6104823521205,1105.8188551567869,1047.402109547454,1062.2331827410233,1055.600341796875,1060.7863618346723
2016-01-07,1055.600341796875,3199580,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,44.35780504920457,0.6510416358920582,1065.16244970854,-3.071995353290504,-1068.2344450618305,1068.801709212269,55.261931970859486,1074.4323556082588,1105.1055048562891,1043.7592063602283,1060.7863618346723,1067.330322265625,1071.6708144595657
2016-01-08,1067.330322265625,1907544,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,48.972985765201024,0.8244313859574717,1065.5960242199571,-2.808809985598828,-1068.404834205556,1068.6679467625745,55.40724614309613,1073.8218383789062,1104.71056566981,1042.9331110880023,1071.6708144595657,1051.638427734375,1061.2762325982571
2016-01-11,1051.638427734375,2930228,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,43.745631617648456,0.6280426235399961,1062.8045049228408,-3.822376455163976,-1066.6268813780048,1067.1198086691018,55.46945700187783,1071.149274553571,1102.8252669087503,1039.4732821983923,1061.2762325982571,1035.9241943359375,1052.8179844888532
2016-01-12,1035.9241943359375,3482594,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,39.2297422088245,0.4583831921757845,1057.4284428054602,-5.826478473585894,-1063.254921279046,1064.2838437297232,45.18954288652118,1068.6690935407366,1105.5280060494492,1031.810181032024,1052.8179844888532,1014.6224975585938,1035.9017692804632
2016-01-13,1014.6224975585938,4746092,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,34.09205696303465,0.2653632400870979,1048.867253756087,-9.029525912153533,-1057.8967796682405,1059.769175895984,36.03305110094488,1064.007555280413,1110.105857175044,1017.909253385782,1035.9017692804632,1014.4447631835938,1023.3926002103148
2016-01-14,1014.4447631835938,2742052,23184.0,1360.0,24544.0,16436.0,20049.0,3.0,2021.0,394.0,7711.0,1627.0,6084.0,30.88,34.051985389683225,0.2638577735592002,1041.9827556415885,-11.450313674140716,-1053.4330693157292,1055.6487747403123,35.43922058157374,1059.0646187918526,1110.610487159173,1007.518750424532,1023.3926002103148,1006.5651245117188,1020.187265850995
